epoch,loss,lr,val_loss
0,0.0011073931043760644,0.001,0.0010493324548006059
1,0.00093069894218610397,0.001,0.00095406780019402504
2,0.00087142568112661442,0.001,0.0009331913478672504
3,0.00084725875065972409,0.001,0.00090062282886356113
4,0.00083293984002537195,0.001,0.00089232423529028888
5,0.00082065153422041068,0.001,0.00087598542310297488
6,0.00081341488804254265,0.001,0.00086718120612204073
7,0.00080192441358748411,0.001,0.00085655873268842696
8,0.00079236457734886147,0.001,0.00084861926222220066
9,0.00078050635108310317,0.000666667,0.00083955077454447749
10,0.00077794393560745654,0.000666667,0.00084044079761952167
11,0.00077063554230456549,0.000666667,0.00083229084033519028
12,0.00076735170702967384,0.000666667,0.00082976849563419822
13,0.00076550968363881108,0.000666667,0.00082591952336952094
14,0.00076113961810349588,0.000666667,0.00082706699194386602
15,0.00075914846195114982,0.000666667,0.00082085516769438984
16,0.00075628366461023692,0.000666667,0.00081903809029608963
17,0.00075354390803517566,0.000666667,0.00082444882579147814
18,0.00074841162433019945,0.000444444,0.00081309400685131551
19,0.00074687003877220882,0.000444444,0.00081696147378534077
20,0.00074593496126019294,0.000444444,0.00081059180386364464
21,0.00074488511567728387,0.000444444,0.00081069435132667417
22,0.00074279398719469703,0.000444444,0.00080918244505301113
23,0.00074002675370623671,0.000296296,0.00080917081050574781
24,0.00073914819893737636,0.000296296,0.00080643334193155171
25,0.00073824731891767843,0.000296296,0.00080547418352216484
26,0.00073798150207019517,0.000296296,0.00080618224479258064
27,0.00073671417109047368,0.000296296,0.00080496318358927964
28,0.00073534328262839048,0.000197531,0.00080374707421287895
29,0.00073448894276387157,0.000197531,0.00080333912745118136
30,0.00073413150628200835,0.000197531,0.00080413010437041521
31,0.00073351507716708708,0.000197531,0.00080240710731595754
32,0.00073336104148377971,0.000197531,0.00080202740570530298
33,0.00073210954241868526,0.000131687,0.0008022865136153996
34,0.00073181994844021068,0.000131687,0.0008015672392211855
35,0.00073142008793850737,0.000131687,0.00080159682501107455
36,0.00073095413690639867,0.000131687,0.0008007349204272032
37,0.00073081128423412641,0.000131687,0.00080176943680271501
38,0.00073000895966672237,8.77915e-05,0.00080020943935960531
39,0.0007298053157412343,8.77915e-05,0.00080017137713730339
40,0.00072940941186000908,8.77915e-05,0.00080000447714701297
41,0.00072921567151529917,8.77915e-05,0.00079959942074492578
42,0.00072905518093870742,8.77915e-05,0.00080018241424113508
43,0.00072852617579822739,5.85277e-05,0.00079944020323455332
44,0.00072846519150253797,5.85277e-05,0.00079913332452997564
45,0.00072819325943580934,5.85277e-05,0.00079963308153674004
46,0.00072814576307104692,5.85277e-05,0.00079959921818226578
47,0.00072792001384206948,5.85277e-05,0.00079886801587417719
48,0.00072755860630422829,3.90184e-05,0.0007986739492043853
49,0.00072749036923050881,3.90184e-05,0.00079859191318973897
50,0.00072733489139419462,3.90184e-05,0.0007985095814801753
