epoch,loss,lr,val_loss
0,0.038841101826479041,0.001,0.0065051239132881168
1,0.0055639239822824794,0.001,0.004711577847599983
2,0.0038901275595029194,0.001,0.0032864170111715795
3,0.0030624750202728644,0.001,0.0029101909585297109
4,0.0027704652914156518,0.001,0.0027463231459259989
5,0.0026327695995569229,0.001,0.0026174086108803748
6,0.002501406683276097,0.001,0.0024859665818512439
7,0.0023732191963742179,0.001,0.0023594861906021834
8,0.0022557339664134716,0.001,0.0022502740882337094
9,0.0021402305608822238,0.001,0.0021134350635111333
10,0.0019929046249017117,0.001,0.0019767771977931259
